,titles,locations,prices
2258,4 Bed Townhouse with En Suite at Mombasa,"Tudor,mombasa Island,mombasa, Tudor,Mombasa Island,mombasa, Tudor, Mombasa Island",
2259,4 Bed Villa with En Suite at Kilif County,"Kikambala,kikambala,kilifi county, Kikambala,kikambala,kilif county, Kikambala",
2260,3 Bed House with En Suite at Postal Mtwapa,"Posta mtwapa, Postal mtwapa, Mtwapa",
2261,5 Bed Villa with En Suite at Kilifi,"Vipingo,vipingo,kilifi, Vipingo ,vipingo,kilifi, Vipingo",
2262,6 Bed Villa with En Suite at Serena Road Shanzu,"Serena road shanzu, Shanzu",
2263,4 Bed Villa with En Suite at Kilif County,"Kikambala,kikambala,kilifi county, Kikambala,kikambala,kilif county, Vipingo",
2264,4 Bed Townhouse with En Suite at Beach Road,"Beach road, Nyali Area, Nyali",
2265,3 Bed Villa with En Suite at Posta,"Mtwapa, Posta",
2266,4 Bed House with En Suite at Broadway,"Mtwapa, Broadway",
2267,3 Bed Villa with En Suite at Bokoboko,"Kanamai, Bokoboko, Kikambala",
2268,3 Bed Villa with En Suite at Aloo Drive,"Mtwapa, Aloo drive",
2269,3 Bed Villa with En Suite at La-Marina,"La-marina, Mtwapa",
2270,3 Bed Villa with En Suite at La-Marina Mtwapa,"La-marina, La-marina  Mtwapa, Mtwapa",
2271,6 Bed House with En Suite at Braeburn,"Braeburn, Bamburi",
2272,4 Bed House with En Suite at La-Marina Mtwapa,"Posta, La-marina  Mtwapa, Mtwapa",
2273,3 Bed Villa with En Suite at Vipingo Ridge,"Vipingo Ridge, Vipingo",
2274,5 Bed House with En Suite in Ngong,Ngong,
2275,4 Bed House with En Suite in Kahawa Sukari,"Kahawa Sukari, Roysambu",
2276,4 Bed House with En Suite in Embakasi,Embakasi,
2277,4 Bed House with En Suite at Vipingo,"vipingo, Mombasa CBD, Mombasa Island",
2278,4 Bed House with En Suite at Nyali,"Nyali, Nyali Area",
2279,5 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",
2280,5 Bed House with En Suite in Tudor,"Tudor, Mombasa Island",
2281,4 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",
2282,4 Bed Townhouse with En Suite in Nyali Area,"Nyali Area, Nyali",
2283,3 Bed Townhouse with En Suite in Nyali Area,"Nyali Area, Nyali",
2284,2 Bed Townhouse with Swimming Pool at Shanzu,"shanzu, Shanzu",
2285,3 Bed Townhouse with En Suite in Mtwapa,Mtwapa,
2286,4 Bed House with Garden at Nairobi,"Woodvale Drive, Runda, Nairobi, Westlands",
2287,5 Bed House with En Suite at Ondiri,"Ondiri, Kikuyu Town, Kikuyu",
2288,3 Bed House with Swimming Pool at Mtwapa,"mtwapa, Mtwapa",
2289,5 Bed House with En Suite at Muthaiga Garden,"Muthaiga, Muthaiga garden",
2290,5 Bed Villa with En Suite in Karen Hardy,Karen Hardy,
2291,4 Bed House with En Suite in Ngong,Ngong,
2292,5 Bed House with En Suite in Muthaiga,Muthaiga,
2293,3 Bed House with En Suite in Ukunda,Ukunda,
2294,4 Bed House with En Suite in Ukunda,Ukunda,
2295,3 Bed Villa with En Suite in Diani,Diani,
2296,4 Bed House with En Suite at Milimani,"Milimani, Kitengela",
2297,4 Bed Townhouse with En Suite at World Bank Estate,"World bank Estate, Changamwe",
2298,5 Bed Townhouse with En Suite in Lavington,Lavington,
2299,4 Bed Townhouse with En Suite in Lavington,Lavington,
2300,4 Bed House in Nyali Area,"Nyali Area, Nyali",
2301,4 Bed House with En Suite in Ngong,Ngong,
2302,5 Bed Townhouse with En Suite in Lavington,Lavington,
2303,4 Bed House with En Suite in Shanzu,"shanzu Serena, Shanzu",
2304,3 Bed House with Staff Quarters in Buruburu,Buruburu,
2305,4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",
2306,2 Bed House with En Suite in Shanzu,Shanzu,
2307,4 Bed House with En Suite in Shanzu,"Serena, Shanzu",
2308,6 Bed Townhouse with En Suite at Karen,Karen,
2309,5 Bed House with En Suite at Kitengela,Kitengela,
2310,4 Bed House with En Suite at Nyali,"Nyali, Nyali Area",
2311,5 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands",
2312,4 Bed House with En Suite in Kitengela,Kitengela,
2313,2 Bed Villa with En Suite in Diani,Diani,
2314,7 Bed House with En Suite at Ushirika Road,"Ushirika Road, Karen",
2315,5 Bed House with En Suite in Nyali Area,"Nyali, Nyali Area",
2316,4 Bed House with En Suite in Kilimani,Kilimani,
2317,3 Bed Villa with En Suite in Kikambala,Kikambala,
2318,3 Bed Townhouse with En Suite in Nyali Area,"Nyali Area, Nyali",
2319,4 Bed House with Swimming Pool at Nyali,"Nyali, Nyali Area",
2320,4 Bed House with En Suite at Nyali,"links road Nyali, Nyali, Nyali Area",
2321,4 Bed Townhouse with En Suite in Nyali Area,"Nyali Area, Nyali",
2322,3 Bed Villa with Swimming Pool at Twiga,"Nyali, Twiga, Nyali Area",
2323,2 Bed House with En Suite in Malindi,Malindi,
2324,4 Bed Townhouse with En Suite in Karen,Karen,
2325,5 Bed House with En Suite at Nairobi,"Ibis Drive, Nyari Eatate, Nairobi, Nyari, Westlands",
2326,4 Bed Townhouse with En Suite at Utange,"Utange, Bamburi",
2327,4 Bed Townhouse with En Suite at Bandari Villas,"Bandari Villas, Nyali Area, Nyali",
2328,3 Bed Townhouse with En Suite at Bombolulu Estate,"Bombolulu Estate, Mombasa Island",
2329,6 Bed Villa with En Suite in Nyali Area,"Nyali Area, Nyali",
2330,5 Bed Townhouse with En Suite at East Church Road,"East Church Road, Westlands Area, Westlands",
2331,5 Bed Townhouse with En Suite in Lavington,Lavington,
2332,5 Bed Villa with En Suite in Spring Valley,"Spring Valley, Westlands",
2333,4 Bed House with En Suite at Nyali Bridge,"Nyali, Nyali Bridge, Mombasa CBD, Mombasa Island",
2334,4 Bed House with En Suite in Nyali Area,"Nyali, Nyali Area",
2335,3 Bed House in Mombasa CBD,"Mombasa CBD, Mombasa Island",
2336,3 Bed House in Mombasa CBD,"Mombasa CBD, Mombasa Island",
2337,2 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",
2338,4 Bed Townhouse in Bamburi,Bamburi,
2339,5 Bed House in Nyali Area,"Nyali Area, Nyali",
2340,4 Bed Villa in Nyali Area,"Nyali Area, Nyali",
2341,5 Bed Townhouse in Nyali Area,"Nyali Area, Nyali",
2342,4 Bed Villa with En Suite in Vipingo,Vipingo,
2343,6 Bed Villa in Diani,Diani,
2344,5 Bed Villa in Vipingo,Vipingo,
2345,4 Bed Villa with En Suite in Mombasa CBD,"Shanzu, Mombasa CBD, Mombasa Island",
2346,4 Bed Villa in Vipingo,Vipingo,
2347,4 Bed House with En Suite in Nyali Area,"Beach road Nyali, Nyali Area, Nyali",
2348,4 Bed House in Komarock,Komarock,
2349,4 Bed Townhouse in Kilifi County,Kilifi County,
2350,5 Bed House with En Suite in Changamwe,Changamwe,
2351,4 Bed House with En Suite in Kiambu Road,Kiambu Road,
2352,5 Bed House with En Suite in Kiambu Road,Kiambu Road,
2353,4 Bed House with En Suite in Kiambu Road,Kiambu Road,
2354,5 Bed Townhouse with En Suite in Syokimau,Syokimau,
2355,4 Bed Villa with En Suite in Athi River,Athi River,
2356,3 Bed Villa with En Suite in Athi River,Athi River,
2357,4 Bed Townhouse with En Suite in Lavington,Lavington,
2358,4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",
2359,4 Bed House with En Suite in Lavington,Lavington,
2360,5 Bed House with En Suite in Ngong,Ngong,
2361,6 Bed Townhouse with En Suite in Kisumu,Kisumu,
2362,3 Bed Townhouse at Impala Road,"Impala Road, Nyali Area, Nyali",
2363,4 Bed House with Garden at Nairobi,"Kigwa Ridge, Nairobi, Ridgeways",
2364,4 Bed Townhouse with En Suite in Ngong,Ngong,
2365,4 Bed House with En Suite at Vipingo,Vipingo,
2366,3 Bed Townhouse in Shanzu,Shanzu,
2367,3 Bed Townhouse in Malindi,Malindi,
2368,3 Bed Townhouse in Ukunda,Ukunda,
2369,7 Bed House with En Suite in Runda,"Runda, Westlands",
2370,1 Bed House with Swimming Pool at Sultan Palace,"Sultan Palace, Kikambala",
2371,3 Bed Villa with En Suite in Mtwapa,Mtwapa,
2372,3 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",
2373,4 Bed House with Swimming Pool in Nyali Area,"Nyali Area, Nyali",
2374,6 Bed House with Swimming Pool in Diani,Diani,
2375,4 Bed House with En Suite at Vipingo,"Vipingo, Kikambala",
